update count,msync,memcpy and flush+sfence
256,1553675859,10760732368
1024,5296008293,10619447040
2048,8768461140,10651266119
4096,12911730574,10803181847
8192,15968089432,11053359641
16384,17859550262,11826835884
32768,20266826180,12492619747
